fecha,timestamp,R:v,R:i,R:p,R:q,S:v,S:i,S:p,S:q,T:v,T:i,T:p,T:q
2023/05/11 10:35:00,1683812100,227.5,1.6,117,-11,229.1,2.9,346,-46,228.1,2.7,239,95
2023/05/11 10:40:01,1683812401,226.6,1.8,146,-8,228.6,2.8,344,-43,227.2,2.5,230,69
2023/05/11 10:45:00,1683812700,227.9,1.6,123,-11,229.5,3.0,353,-35,228.2,2.7,230,86
2023/05/11 10:50:01,1683813001,228.4,1.7,141,-6,230.1,2.9,353,-32,228.6,2.6,217,66
2023/05/11 10:55:00,1683813300,229.0,1.6,136,0,230.9,3.0,351,-47,229.7,2.7,242,84
2023/05/11 11:00:01,1683813601,228.8,1.8,142,-14,230.6,2.9,340,-25,229.4,2.5,204,75
2023/05/11 11:05:59,1683813959,229.1,1.6,140,-14,230.8,2.8,348,-28,229.6,2.6,223,88
2023/05/11 11:11:12,1683814272,230.1,1.6,125,-9,231.7,3.0,353,-45,230.6,2.7,233,79
2023/05/11 11:15:00,1683814500,230.4,1.7,137,-1,231.8,3.0,350,-22,230.8,2.6,199,47
2023/05/11 11:20:01,1683814801,228.1,1.6,137,-16,229.8,2.8,347,-34,228.9,2.5,198,43
2023/05/11 11:25:00,1683815100,229.4,1.8,138,-23,231.3,2.9,365,-27,230.1,2.6,208,66
2023/05/11 11:31:02,1683815462,230.2,1.7,139,-23,231.8,2.9,351,-23,230.6,2.5,215,61
2023/05/11 11:35:00,1683815700,229.9,1.7,143,-18,231.7,3.0,362,-42,230.3,2.9,237,92
2023/05/11 11:40:07,1683816007,229.7,1.7,160,-24,231.7,3.3,402,-29,230.3,2.9,255,90
2023/05/11 11:45:01,1683816301,229.6,2.0,164,-31,231.4,3.1,383,-14,230.5,2.8,246,84
2023/05/11 11:50:01,1683816601,226.9,2.0,156,-14,228.7,3.2,380,-26,227.6,2.8,247,77
2023/05/11 11:55:01,1683816901,227.7,1.8,151,-9,229.4,3.1,372,-30,228.3,2.9,252,90
2023/05/11 12:00:00,1683817200,227.0,1.9,166,-32,228.8,3.1,379,-25,227.2,2.7,241,73
2023/05/11 12:05:00,1683817500,226.5,1.9,164,-23,228.2,3.2,394,-24,227.0,2.6,233,86
2023/05/11 12:10:00,1683817800,226.4,2.0,155,-24,228.1,3.1,365,-17,226.7,2.6,233,77
2023/05/11 12:15:00,1683818100,226.0,1.3,65,2,228.1,1.2,122,3,226.6,1.1,41,-24
2023/05/11 12:20:01,1683818401,229.2,1.2,58,4,231.1,1.3,133,-9,229.7,1.2,49,-12
2023/05/11 12:25:00,1683818700,229.1,1.2,53,-5,231.2,1.3,144,-9,229.8,1.2,33,-12
2023/05/11 12:30:01,1683819001,229.3,1.1,42,13,231.0,1.2,125,6,229.7,1.2,47,-4
2023/05/11 12:36:04,1683819364,229.4,1.2,47,7,231.4,1.3,130,-11,230.1,1.2,38,-22
2023/05/11 12:41:16,1683819676,229.2,1.0,48,0,231.2,1.3,134,-4,229.8,1.2,49,-1
2023/05/11 12:46:56,1683820016,229.5,1.0,66,2,231.5,1.4,135,1,230.2,1.1,38,-13
2023/05/11 12:50:01,1683820201,229.4,1.1,42,0,231.4,1.4,136,5,229.8,1.2,39,-8
2023/05/11 12:55:00,1683820500,229.3,1.2,63,0,231.3,1.4,137,-3,229.8,1.2,40,-12
2023/05/11 13:00:01,1683820801,229.2,1.2,40,-14,231.1,1.3,118,-2,229.8,1.2,32,-15
2023/05/11 13:05:00,1683821100,229.4,1.0,41,0,231.3,1.4,135,10,229.7,1.1,26,-30
2023/05/11 13:10:00,1683821400,229.3,1.2,48,-9,231.2,1.4,124,-4,229.9,1.1,27,-30
2023/05/11 13:15:00,1683821700,228.8,1.1,52,1,230.7,1.3,130,1,229.3,1.1,31,-27
2023/05/11 13:20:00,1683822000,228.9,1.1,48,1,230.8,1.4,141,6,229.3,1.0,45,1
2023/05/11 13:25:00,1683822300,229.1,1.2,41,-14,231.0,1.2,126,-3,229.9,1.1,30,-9
2023/05/11 13:30:00,1683822600,228.9,1.1,48,5,230.8,1.5,130,13,229.5,1.1,26,-18
2023/05/11 13:35:01,1683822901,229.5,1.1,41,-6,231.1,1.4,137,7,230.1,1.0,38,-21
2023/05/11 13:40:01,1683823201,229.4,1.1,41,-9,231.0,1.4,134,-2,229.5,1.0,33,-23
2023/05/11 13:45:00,1683823500,229.8,1.2,42,1,231.9,1.4,132,1,230.6,1.1,31,-12
