fecha,timestamp,R:v,R:i,R:p,R:q,S:v,S:i,S:p,S:q,T:v,T:i,T:p,T:q
2023/05/16 17:05:00,1684267500,229.3,1.0,42,-3,231.6,1.2,133,-13,229.9,1.1,35,-28
2023/05/16 17:10:00,1684267800,227.9,1.2,48,5,230.1,1.2,124,-6,228.7,1.0,35,-22
2023/05/16 17:15:00,1684268100,228.5,0.9,36,7,230.8,1.3,151,-1,229.4,1.2,47,-15
2023/05/16 17:20:01,1684268401,229.0,1.0,44,-5,230.8,1.4,134,-19,229.5,1.1,33,-17
2023/05/16 17:25:00,1684268700,229.8,1.2,34,5,231.9,1.4,142,-6,230.1,1.1,23,-22
2023/05/16 17:30:01,1684269001,230.0,1.0,47,2,232.0,1.2,128,-17,230.0,1.2,27,-20
2023/05/16 17:35:00,1684269300,229.8,1.1,37,1,232.1,1.3,129,-8,230.8,1.1,32,-34
2023/05/16 17:40:01,1684269601,230.1,1.2,36,-3,232.4,1.4,126,-7,231.0,0.9,33,-23
2023/05/16 17:45:00,1684269900,229.9,1.0,42,3,232.2,1.4,129,-16,230.7,1.2,39,-22
2023/05/16 17:50:01,1684270201,229.8,1.2,45,5,232.0,1.4,135,-21,230.5,1.2,40,-20
2023/05/16 17:55:00,1684270500,229.2,1.2,35,2,231.7,1.3,140,-4,230.1,1.1,41,-40
2023/05/16 18:00:01,1684270801,228.1,1.2,53,2,230.6,1.4,139,-12,229.2,1.2,32,-31
2023/05/16 18:05:00,1684271100,227.7,1.0,33,2,230.3,1.5,131,0,228.9,1.0,40,-36
2023/05/16 18:10:00,1684271400,228.7,1.2,38,-9,231.5,1.2,123,-2,229.9,1.1,38,-32
2023/05/16 18:15:00,1684271700,228.9,1.1,42,5,231.7,1.2,120,-1,230.0,1.1,39,-24
2023/05/16 18:20:01,1684272001,229.3,1.0,38,1,231.9,1.2,133,-5,230.4,1.1,39,-18
2023/05/16 18:25:00,1684272300,227.9,1.0,42,-5,230.6,1.3,155,-10,228.9,1.2,42,-21
2023/05/16 18:30:01,1684272601,228.4,1.2,42,5,231.2,1.3,134,-26,229.5,1.1,51,-30
2023/05/16 18:35:00,1684272900,227.8,1.1,34,-5,230.6,1.2,133,-13,229.0,1.2,31,-31
