fecha,timestamp,R:v,R:i,R:p,R:q,S:v,S:i,S:p,S:q,T:v,T:i,T:p,T:q
2023/05/18 13:00:00,1684425600,229.2,3.0,33,-74,228.2,2.8,5,51,229.7,3.2,-28,84
2023/05/18 13:05:00,1684425900,229.0,3.4,43,-64,227.0,3.2,56,59,229.1,3.8,-28,87
2023/05/18 13:10:00,1684426200,228.8,3.4,77,-26,226.7,3.2,23,33,228.1,3.4,-8,76
2023/05/18 13:15:00,1684426500,229.5,3.9,77,-15,227.3,3.0,46,33,229.4,3.2,15,87
2023/05/18 13:20:01,1684426801,230.5,3.2,64,-51,228.4,3.4,36,36,230.1,3.8,-20,79
2023/05/18 13:25:00,1684427100,229.7,3.4,64,-49,228.3,3.4,13,44,230.0,3.6,0,71
2023/05/18 13:30:01,1684427401,228.5,3.6,61,-59,227.3,2.8,23,54,229.0,3.4,13,46
2023/05/18 13:35:00,1684427700,229.0,3.8,79,-33,227.9,3.8,36,69,229.0,3.8,-13,79
2023/05/18 13:40:01,1684428001,229.0,3.2,49,-51,227.2,3.0,13,28,229.4,3.6,23,79
2023/05/18 13:45:00,1684428300,229.0,3.8,66,-69,227.2,3.2,23,33,228.2,2.8,-28,64
2023/05/18 13:50:00,1684428600,229.4,3.6,43,-43,227.5,3.2,33,36,229.4,3.9,-36,82
2023/05/18 13:55:01,1684428901,229.1,3.4,69,-31,227.4,3.0,13,69,228.7,3.4,-8,74
2023/05/18 14:00:00,1684429200,229.0,3.8,54,-56,227.0,3.2,20,61,228.1,3.4,18,84
2023/05/18 14:05:01,1684429501,228.5,3.4,77,-54,226.7,3.0,20,41,228.6,3.4,-13,84
2023/05/18 14:10:00,1684429800,229.5,3.6,43,-77,227.3,3.2,26,26,228.8,3.6,13,74
2023/05/18 14:15:01,1684430101,228.6,3.2,59,-33,226.5,3.0,23,33,228.7,3.4,-13,102
2023/05/18 14:20:00,1684430400,228.6,3.8,33,-41,226.8,2.8,10,54,228.6,3.6,3,76
2023/05/18 14:25:01,1684430701,227.7,3.8,61,-41,226.7,3.0,-8,49,228.9,3.6,-5,115
2023/05/18 14:30:00,1684431000,229.2,3.4,82,-66,227.5,3.0,28,49,227.7,3.2,28,76
2023/05/18 14:35:01,1684431301,228.4,3.4,64,-36,226.7,3.0,49,38,227.8,3.2,-20,69
2023/05/18 14:40:00,1684431600,228.9,3.8,82,-5,226.9,3.0,33,67,229.3,3.8,-28,94
2023/05/18 14:45:01,1684431901,230.2,3.4,49,-51,228.0,2.8,0,28,230.2,3.8,-8,117
2023/05/18 14:50:00,1684432200,228.2,3.0,74,-72,226.7,3.6,28,41,228.8,3.6,8,107
2023/05/18 14:55:01,1684432501,228.5,3.8,64,-61,226.8,3.2,38,33,229.0,3.6,-10,87
2023/05/18 15:00:00,1684432800,229.0,3.6,64,-43,227.7,3.4,28,31,229.7,3.6,-3,102
2023/05/18 15:05:01,1684433101,228.0,3.4,74,-49,226.2,3.0,20,46,227.2,3.8,-5,89
2023/05/18 15:10:00,1684433400,228.4,3.8,77,-61,226.9,3.6,13,46,228.3,3.8,-36,66
2023/05/18 15:15:01,1684433701,229.0,3.6,49,-46,228.5,2.8,8,0,229.6,3.2,-31,112
2023/05/18 15:20:00,1684434000,230.1,3.4,49,-36,228.5,3.4,31,28,230.2,3.4,-13,84
2023/05/18 15:25:00,1684434300,230.9,3.8,66,-82,229.5,3.2,36,49,230.9,3.6,15,94
2023/05/18 15:30:00,1684434600,230.8,3.8,72,-26,229.1,3.2,31,59,230.8,3.4,-28,107
2023/05/18 15:35:01,1684434901,231.7,3.4,56,-31,229.7,3.0,23,33,231.8,3.2,-8,92
2023/05/18 15:40:00,1684435200,231.4,3.4,89,-79,229.5,3.0,10,36,230.5,3.4,0,82
2023/05/18 15:45:01,1684435501,231.2,3.6,69,10,230.5,3.0,26,77,231.6,3.4,-15,74
2023/05/18 15:50:00,1684435800,232.2,3.8,54,-41,230.5,2.8,18,64,232.4,3.6,18,94
2023/05/18 15:55:01,1684436101,231.5,3.8,51,-54,229.6,3.4,36,41,231.5,3.9,-3,104
2023/05/18 16:00:00,1684436400,231.0,3.8,51,-43,229.7,3.2,23,64,231.4,3.4,-18,107
2023/05/18 16:05:01,1684436701,231.4,3.6,56,-51,229.4,3.2,33,23,231.6,3.4,-15,97
2023/05/18 16:10:00,1684437000,231.9,3.4,74,-38,230.0,3.0,28,49,231.8,3.8,20,61
2023/05/18 16:15:01,1684437301,232.0,3.6,59,-87,229.6,3.6,31,54,231.0,3.6,8,71
2023/05/18 16:20:00,1684437600,230.4,3.4,59,-66,228.5,3.2,13,33,230.1,3.4,13,92
2023/05/18 16:25:01,1684437901,229.2,3.8,46,-61,227.4,3.0,26,49,228.6,3.2,-3,82
2023/05/18 16:30:00,1684438200,228.8,3.2,51,-33,227.3,3.6,28,23,229.0,3.6,28,120
2023/05/18 16:35:01,1684438501,229.0,3.2,61,-31,228.5,3.2,36,54,229.7,3.2,-36,92
2023/05/18 16:40:00,1684438800,229.7,3.8,41,-41,228.2,3.0,-8,33,228.4,3.4,33,66
2023/05/18 16:45:00,1684439100,231.0,3.6,61,-79,229.6,2.8,8,36,229.6,3.2,23,79
2023/05/18 16:50:01,1684439401,230.5,3.9,66,-77,229.0,3.2,13,95,229.7,3.8,0,84
2023/05/18 16:55:00,1684439700,229.9,3.6,56,-49,228.6,3.0,20,44,229.9,3.4,-3,69
2023/05/18 17:00:01,1684440001,230.2,3.2,49,-87,228.7,3.2,26,67,229.9,3.2,-3,92
2023/05/18 17:05:00,1684440300,231.0,3.8,61,-64,229.5,3.0,26,46,229.4,3.6,33,99
