hora,Tension de Linea L1,Corriente L1,Potencia Activa L1,Potencia Reactiva L1,Factor de Potencia L1,Tension de Linea L2,Corriente L2,Potencia Activa L2,Potencia Reactiva L2,Factor de Potencia L2,Tension de Linea L3,Corriente L3,Potencia Activa L3,Potencia Reactiva L3,Factor de Potencia L3,Potencia Activa III,Potencia Inductiva III,Potencia Capacitiva III,Coseno Fi,Tension entre Lineas L1 y L2,Tension entre Lineas L2 y L3,Tension entre Lineas L3 y L1,Potencia Aparente III,Demanda Maxima,Corriente de las Tres Fases,Corriente de Neutro,Demanda Maxima A2,Demanda Maxima A3,Energia Activa,Energia Reactiva Inductiva,Energia Reactiva Capacitiva
Wed Sep 25 00:00:55 2019,7723.114285714287,4698.214285714285,32767.5,4294953254.392857,42949672.051071405,7684.971428571429,6106.285714285715,42277.75,4294948403.428571,42949672.0567857,7605.814285714287,5469.0,33324.71428571428,4294943605.857143,42949672.15607142,108338.03571428571,0.0,56631.357142857145,42949672.079285726,13375.457142857142,13186.457142857147,13260.55714285714,115020.89285714286,0.0,5427.642857142857,0.0,0.0,0.0,492103936.71428573,434169959.0,881441424.5
Wed Sep 25 00:01:56 2019,7724.358620689655,4719.103448275862,32922.48275862069,4294953262.3448277,42949672.04965515,7689.186206896553,6128.482758620689,42474.55172413793,4294948379.9310346,42949672.055172384,7609.1586206896545,5481.103448275862,33419.24137931035,4294943569.4827585,42949672.15517241,108843.79310344828,0.0,56597.48275862069,42949672.07965518,13381.531034482756,13195.241379310344,13263.558620689655,115078.89655172414,0.0,5443.172413793103,0.0,0.0,0.0,492105745.79310346,434169959.0,881442367.2758621
Wed Sep 25 00:02:55 2019,7726.285714285716,4546.071428571428,31482.85714285714,4294953293.357143,42949672.059999995,7689.3,6041.357142857143,42011.57142857143,4294949059.892857,42949672.05178569,7607.914285714286,5468.357142857143,33023.03571428572,4294943137.357143,42949672.16071427,106506.89285714286,0.0,56354.96428571428,42949672.07785715,13383.0,13192.500000000002,13264.371428571425,114523.42857142857,0.0,5349.857142857143,0.0,0.0,0.0,492107537.0,434169959.0,881443309.7142857
Wed Sep 25 00:03:56 2019,7726.924137931034,4500.413793103448,31010.620689655174,4294953101.3103447,42949672.064482756,7687.779310344827,6026.896551724138,42001.96551724138,4294949250.137931,42949672.0527586,7608.537931034483,5505.517241379311,33145.275862068964,4294942832.8965516,42949672.16551723,106123.55172413793,0.0,56744.793103448275,42949672.080000006,13379.544827586207,13189.737931034482,13265.172413793105,113736.44827586207,0.0,5343.931034482759,0.0,0.0,0.0,492109305.79310346,434169959.0,881444248.4482758
Wed Sep 25 00:04:55 2019,7722.814285714287,4536.214285714285,31394.25,4294953240.285714,42949672.06107141,7684.371428571429,6015.428571428572,41532.392857142855,4294948513.392857,42949672.05928571,7605.514285714285,5394.642857142857,32398.5,4294943293.464286,42949672.16392856,105303.82142857143,0.0,56879.92857142857,42949672.08071429,13375.414285714287,13187.614285714286,13259.871428571429,112551.17857142857,0.0,5315.714285714285,0.0,0.0,0.0,492111063.35714287,434169959.0,881445194.4642857
Wed Sep 25 00:05:55 2019,7722.951724137931,4551.724137931034,31582.689655172413,4294953413.034483,42949672.05689653,7686.041379310345,6049.448275862069,41731.1724137931,4294948225.8965516,42949672.059999965,7605.2275862068955,5387.172413793103,32274.896551724138,4294943223.551724,42949672.16724138,105670.96551724138,0.0,57039.31034482759,42949672.08034483,13376.979310344828,13187.089655172416,13259.586206896549,115028.68965517242,0.0,5332.9655172413795,0.0,0.0,0.0,492112817.5862069,434169959.0,881446144.2758621
Wed Sep 25 00:06:54 2019,7724.742857142858,4567.928571428572,31812.964285714286,4294953609.142857,42949672.052857116,7687.371428571429,6099.428571428572,42220.96428571428,4294948424.75,42949672.05785712,7606.328571428571,5434.928571428572,32625.535714285714,4294943091.25,42949672.16749998,106655.82142857143,0.0,56762.892857142855,42949672.080000006,13378.157142857142,13188.814285714285,13261.757142857143,115047.57142857143,0.0,5367.642857142857,0.0,0.0,0.0,492114584.0,434169959.0,881447088.25
Wed Sep 25 00:07:55 2019,7726.137931034484,4612.551724137931,32161.793103448275,4294953522.6896553,42949672.05344825,7688.565517241381,6110.689655172414,42293.10344827586,4294948352.62069,42949672.05689653,7608.95172413793,5440.137931034483,32764.896551724138,4294943264.62069,42949672.16586207,107096.37931034483,0.0,56857.68965517241,42949672.07931035,13382.441379310343,13193.462068965518,13265.13103448276,115074.10344827586,0.0,5385.310344827586,0.0,0.0,0.0,492116364.9655172,434169959.0,881448036.0344827
Wed Sep 25 00:08:56 2019,7730.151724137932,4650.620689655172,32456.48275862069,4294953389.137931,42949672.051379286,7692.1655172413775,6083.172413793103,41799.68965517241,4294947656.9310346,42949672.06517241,7611.7241379310335,5350.3448275862065,32202.931034482757,4294943596.9310346,42949672.16586206,106558.5172413793,0.0,57180.0,42949672.08034483,13387.98620689655,13200.165517241378,13270.427586206897,115130.72413793103,0.0,5362.827586206897,0.0,0.0,0.0,492118169.17241377,434169959.0,881449000.7931035
Wed Sep 25 00:09:55 2019,7724.957142857143,4628.571428571428,32320.464285714286,4294953662.357143,42949672.051071405,7687.1571428571415,6087.857142857143,42217.32142857143,4294948662.464286,42949672.05678569,7605.214285714285,5430.0,32891.78571428572,4294943541.821429,42949672.16249999,107450.96428571429,0.0,56053.28571428572,42949672.075357154,13377.214285714284,13187.48571428571,13260.342857142858,115040.96428571429,0.0,5386.142857142857,0.0,0.0,0.0,492119950.3214286,434169959.0,881449941.5357143
