unixtime,potencia_III,v_l1_l2,v_l2_l3,v_l3_l1
Wed Sep 25 00:00:55 2019,108338.03571428571,13375.457142857142,13186.457142857147,13260.55714285714
Wed Sep 25 00:01:56 2019,108843.79310344828,13381.531034482756,13195.241379310344,13263.558620689655
Wed Sep 25 00:02:55 2019,106506.89285714286,13383.0,13192.500000000002,13264.371428571425
Wed Sep 25 00:03:56 2019,106123.55172413793,13379.544827586207,13189.737931034482,13265.172413793105
Wed Sep 25 00:04:55 2019,105303.82142857143,13375.414285714287,13187.614285714286,13259.871428571429
Wed Sep 25 00:05:55 2019,105670.96551724138,13376.979310344828,13187.089655172416,13259.586206896549
Wed Sep 25 00:06:54 2019,106655.82142857143,13378.157142857142,13188.814285714285,13261.757142857143
Wed Sep 25 00:07:55 2019,107096.37931034483,13382.441379310343,13193.462068965518,13265.13103448276
Wed Sep 25 00:08:56 2019,106558.5172413793,13387.98620689655,13200.165517241378,13270.427586206897
Wed Sep 25 00:09:55 2019,107450.96428571429,13377.214285714284,13187.48571428571,13260.342857142858
Wed Sep 25 00:10:56 2019,108518.55172413793,13378.75862068966,13188.579310344825,13261.737931034484
Wed Sep 25 00:11:55 2019,108377.14285714286,13387.628571428577,13197.600000000004,13270.88571428571
Wed Sep 25 00:12:56 2019,107610.31034482758,13396.675862068963,13211.006896551726,13280.482758620692
Wed Sep 25 00:13:54 2019,106013.5,13396.714285714288,13213.285714285716,13291.414285714283
Wed Sep 25 00:14:55 2019,105993.20689655172,13400.524137931037,13218.993103448276,13295.131034482756
Wed Sep 25 00:15:56 2019,105510.06896551725,13414.013793103444,13231.69655172414,13307.75172413793
Wed Sep 25 00:16:55 2019,105364.07142857143,13396.071428571426,13216.028571428573,13291.842857142858
Wed Sep 25 00:17:56 2019,104858.86206896552,13400.565517241379,13219.531034482758,13296.537931034482
Wed Sep 25 00:18:54 2019,104519.5,13392.085714285717,13215.471428571429,13289.957142857145
Wed Sep 25 00:19:55 2019,105019.96551724138,13386.206896551726,13212.33103448276,13283.46206896552
Wed Sep 25 00:20:56 2019,106668.13793103448,13392.744827586203,13219.034482758621,13287.972413793106
Wed Sep 25 00:21:55 2019,106875.78571428571,13398.257142857143,13225.414285714285,13293.514285714287
Wed Sep 25 00:22:56 2019,107421.96551724138,13398.537931034482,13225.903448275862,13296.827586206895
Wed Sep 25 00:23:54 2019,106996.28571428571,13396.92857142857,13224.771428571426,13293.9
Wed Sep 25 00:24:55 2019,107127.13793103448,13391.337931034483,13220.4,13284.620689655174
Wed Sep 25 00:25:54 2019,108007.85714285714,13399.971428571433,13225.928571428569,13293.128571428571
Wed Sep 25 00:26:55 2019,107192.27586206897,13403.255172413796,13228.137931034482,13294.8
Wed Sep 25 00:27:56 2019,105283.75862068965,13401.84827586207,13228.01379310345,13296.827586206897
Wed Sep 25 00:28:55 2019,106262.17857142857,13405.071428571431,13228.671428571428,13303.371428571432
Wed Sep 25 00:29:56 2019,106709.27586206897,13398.455172413793,13222.96551724138,13298.689655172413
Wed Sep 25 00:30:55 2019,107060.57142857143,13405.5,13225.628571428573,13294.842857142861
Wed Sep 25 00:31:56 2019,107822.96551724138,13409.172413793101,13236.703448275863,13302.24827586207
Wed Sep 25 00:32:54 2019,108909.17857142857,13422.385714285718,13254.98571428571,13321.628571428571
Wed Sep 25 00:33:55 2019,109851.03448275862,13406.110344827584,13238.15172413793,13302.786206896551
Wed Sep 25 00:34:54 2019,110033.92857142857,13408.67142857143,13236.214285714284,13299.042857142858
Wed Sep 25 00:35:55 2019,110180.03448275862,13417.862068965518,13247.54482758621,13308.95172413793
Wed Sep 25 00:36:56 2019,108411.93103448275,13417.737931034484,13246.717241379312,13309.158620689659
