fecha,timestamp,R:v,R:i,R:p,R:q,S:v,S:i,S:p,S:q,T:v,T:i,T:p,T:q
2023/05/17 20:40:00,1684366800,230.4,3.9,-92,56,227.9,3.0,-13,-23,226.3,3.6,-36,-51
2023/05/17 20:45:01,1684367101,228.9,4.1,-79,64,227.4,3.6,-8,-36,228.7,3.4,5,-82
2023/05/17 20:50:00,1684367400,229.4,3.4,-66,95,227.9,3.4,-38,-61,228.6,3.4,-31,-87
2023/05/17 20:55:00,1684367700,229.4,3.8,-54,54,227.2,3.4,-20,-33,228.9,3.8,33,-97
2023/05/17 21:00:01,1684368001,229.1,3.6,-38,64,227.0,3.0,-10,-74,228.5,3.2,-8,-87
2023/05/17 21:05:00,1684368300,230.5,3.9,-105,102,228.0,3.0,-26,-69,227.6,3.0,-15,-28
2023/05/17 21:10:01,1684368601,230.7,3.6,-38,102,227.9,2.8,-13,-49,228.9,3.2,13,-84
2023/05/17 21:15:00,1684368900,229.8,3.4,-61,72,227.9,2.5,-46,-69,230.0,3.8,28,-94
2023/05/17 21:20:01,1684369201,230.1,3.8,-82,79,228.2,3.2,-28,-51,228.7,2.8,-8,-53
2023/05/17 21:25:00,1684369500,230.2,3.9,-56,77,228.5,3.0,-23,-44,229.3,3.2,-13,-84
2023/05/17 21:30:01,1684369801,229.7,3.8,-77,33,228.1,3.0,-33,-44,229.0,3.4,-13,-97
2023/05/17 21:35:00,1684370100,229.5,3.6,-79,49,227.6,3.2,-38,-28,228.0,3.2,0,-69
2023/05/17 21:40:01,1684370401,231.0,3.4,-66,74,229.3,3.0,-13,-49,229.1,3.4,-3,-31
2023/05/17 21:45:00,1684370700,230.2,3.4,-84,54,229.3,2.8,-20,-72,229.5,3.6,0,-104
2023/05/17 21:50:01,1684371001,229.6,3.4,-66,51,228.4,3.0,-41,-67,229.4,3.8,25,-76
2023/05/17 21:55:00,1684371300,229.8,3.0,-51,31,228.3,2.8,-38,-44,229.4,3.2,20,-94
2023/05/17 22:00:00,1684371600,230.4,3.0,-77,82,228.8,3.2,-5,-77,228.8,3.4,-33,-115
2023/05/17 22:05:01,1684371901,230.4,3.6,-54,64,228.8,2.8,-23,-56,229.7,3.6,5,-79
2023/05/17 22:10:00,1684372200,230.5,3.2,-54,100,229.3,3.2,-10,-64,229.9,3.6,-33,-69
2023/05/17 22:15:01,1684372501,230.9,2.8,-72,31,229.8,3.0,-46,-41,230.3,3.4,-23,-74
2023/05/17 22:20:00,1684372800,230.9,3.6,-82,41,229.0,3.2,-54,-44,230.7,3.8,23,-87
2023/05/17 22:25:01,1684373101,231.6,3.6,-56,54,230.0,3.4,-36,-67,230.6,3.4,-13,-76
2023/05/17 22:30:00,1684373400,232.2,3.2,-66,54,231.0,3.2,-20,-26,231.1,3.6,31,-92
