fecha,timestamp,R:v,R:i,R:p,R:q,S:v,S:i,S:p,S:q,T:v,T:i,T:p,T:q
2023/05/10 17:35:00,1683750900,227.7,1.3,-39,-13,229.8,1.5,-103,25,228.8,1.4,-47,7
2023/05/10 17:40:00,1683751200,227.7,1.3,66,12,229.5,1.3,87,-25,228.1,1.2,48,-16
2023/05/10 17:45:00,1683751500,227.7,1.3,43,-5,229.8,1.4,84,-35,228.7,1.1,31,-4
2023/05/10 17:50:01,1683751801,226.3,1.4,33,5,228.6,1.5,86,-24,227.6,1.3,43,5
2023/05/10 17:55:00,1683752100,225.8,1.2,34,10,228.2,1.2,91,-23,226.9,1.2,47,-10
2023/05/10 18:00:00,1683752400,226.7,1.2,45,3,229.1,1.4,84,-23,227.7,1.2,50,-10
2023/05/10 18:05:01,1683752701,225.1,0.9,31,3,227.8,1.3,95,-32,226.2,1.3,48,-4
2023/05/10 18:10:01,1683753001,227.8,1.4,31,8,230.4,1.3,99,-30,229.0,1.2,41,-13
2023/05/10 18:15:00,1683753300,228.2,1.1,41,9,230.5,1.2,80,-35,229.1,1.2,44,-13
2023/05/10 18:20:01,1683753601,228.4,1.2,51,2,231.2,1.2,88,-14,229.7,1.2,43,-15
2023/05/10 18:25:00,1683753900,228.9,1.0,36,7,231.6,1.4,86,-23,230.1,1.2,42,-19
2023/05/10 18:30:00,1683754200,227.8,1.2,36,4,230.9,1.3,92,-30,229.4,1.2,37,-6
2023/05/10 18:35:01,1683754501,229.5,1.2,23,14,232.5,1.2,77,-23,230.6,1.2,44,-11
2023/05/10 18:40:00,1683754800,228.7,1.2,43,8,231.8,1.2,89,-26,230.3,1.2,35,-15
2023/05/10 18:45:01,1683755101,229.2,1.2,48,8,232.3,1.4,90,-15,230.8,1.1,26,-22
2023/05/10 18:50:00,1683755400,228.7,1.2,47,0,231.5,1.3,94,-24,230.1,1.3,40,-11
2023/05/10 18:55:00,1683755700,228.1,1.1,46,12,231.2,1.1,88,-17,229.9,1.2,35,-9
2023/05/10 19:00:01,1683756001,227.7,1.1,49,19,230.9,1.2,92,-37,229.3,1.2,34,8
2023/05/10 19:05:00,1683756300,228.1,1.1,46,13,231.4,1.3,92,-19,229.8,1.2,39,-8
2023/05/10 19:10:01,1683756601,228.6,1.2,44,-1,231.9,1.4,89,-21,230.2,1.2,40,-4
2023/05/10 19:15:00,1683756900,227.5,1.1,44,8,230.6,1.4,77,-34,229.2,1.2,30,-24
2023/05/10 19:20:00,1683757200,228.3,1.2,27,-6,231.5,1.3,88,-25,229.8,1.2,35,-25
2023/05/10 19:25:00,1683757500,228.2,1.1,27,6,231.4,1.4,91,-13,229.8,1.1,43,-13
2023/05/10 19:30:01,1683757801,228.4,1.3,50,6,231.3,1.3,84,-22,229.8,1.3,45,-15
2023/05/10 19:35:00,1683758100,228.3,1.1,48,5,231.5,1.4,89,-13,229.8,1.2,36,-14
2023/05/10 19:40:01,1683758401,227.9,1.2,32,3,231.1,1.3,89,-19,229.6,1.2,48,-8
2023/05/10 19:45:00,1683758700,227.3,1.0,44,10,230.7,1.3,84,-28,229.1,1.2,43,-7
2023/05/10 19:50:01,1683759001,227.4,1.2,31,1,230.9,1.2,93,-33,229.2,1.2,38,-24
2023/05/10 19:55:00,1683759300,227.7,1.1,49,14,231.2,1.3,90,-18,229.6,1.2,38,-29
2023/05/10 20:00:01,1683759601,227.8,1.2,35,9,231.1,1.2,77,-11,229.5,1.2,31,-26
2023/05/10 20:05:00,1683759900,226.8,1.3,40,4,230.1,1.2,69,-27,228.9,1.0,29,-22
2023/05/10 20:10:01,1683760201,227.3,1.1,41,5,230.7,1.2,81,-24,229.1,1.2,35,-26
2023/05/10 20:15:00,1683760500,226.6,1.0,39,21,230.2,1.2,93,-25,228.6,1.1,35,-17
2023/05/10 20:20:01,1683760801,227.2,1.2,37,15,230.5,1.3,77,-28,228.8,1.2,58,4
2023/05/10 20:25:00,1683761100,226.9,1.2,42,0,230.3,1.3,83,-28,229.2,1.2,27,-37
2023/05/10 20:30:00,1683761400,226.9,1.2,49,1,230.1,1.2,77,-22,228.6,1.2,33,-31
2023/05/10 20:35:00,1683761700,226.0,1.2,41,11,229.5,1.2,75,-24,228.1,1.2,29,-24
2023/05/10 20:40:01,1683762001,226.2,1.1,57,-1,229.5,1.3,89,-22,227.9,1.2,43,-29
2023/05/10 20:45:00,1683762300,226.1,1.1,52,-8,229.5,1.2,83,-30,228.3,1.2,28,-21
2023/05/10 20:50:00,1683762600,227.3,1.0,51,3,230.5,1.2,83,-28,229.1,1.2,34,-28
2023/05/10 20:55:00,1683762900,226.7,1.2,45,0,230.2,1.2,83,-20,228.8,1.2,31,-22
2023/05/10 21:00:00,1683763200,226.6,1.2,51,1,229.8,1.2,88,-17,228.5,1.2,46,-33
2023/05/10 21:05:00,1683763500,227.4,1.0,42,-6,230.8,1.3,87,-19,229.3,1.0,41,-34
2023/05/10 21:10:00,1683763800,227.0,1.0,37,8,230.3,1.3,93,-17,228.9,1.2,36,-18
2023/05/10 21:15:01,1683764101,227.8,1.2,36,8,230.9,1.3,79,-22,229.4,1.0,44,-29
2023/05/10 21:20:00,1683764400,227.5,1.3,31,-1,230.8,1.4,88,-16,229.3,1.1,40,-10
2023/05/10 21:25:01,1683764701,228.1,1.2,41,-7,231.1,1.3,82,-14,229.7,1.2,36,-22
2023/05/10 21:30:00,1683765000,227.0,1.2,44,12,230.3,1.2,83,-22,229.0,1.2,36,-35
2023/05/10 21:35:01,1683765301,228.3,1.1,41,-3,231.8,1.2,79,-30,230.3,1.3,25,-31
2023/05/10 21:40:00,1683765600,227.9,1.1,33,2,231.0,1.3,83,-20,229.8,1.2,45,-22
2023/05/10 21:45:01,1683765901,228.2,1.1,39,5,231.7,1.3,78,-39,230.3,1.2,30,-29
2023/05/10 21:50:00,1683766200,229.6,1.2,34,4,232.5,1.2,84,-26,231.3,1.1,42,-56
2023/05/10 21:55:01,1683766501,228.8,1.2,27,-1,232.1,1.2,85,-28,230.7,1.1,53,-12
2023/05/10 22:00:00,1683766800,228.7,1.2,47,14,232.0,1.3,90,-29,230.8,1.1,31,-22
2023/05/10 22:05:01,1683767101,229.4,1.2,40,1,232.3,1.4,104,-23,230.9,1.1,39,-24
2023/05/10 22:10:00,1683767400,229.3,1.1,38,6,232.4,1.4,80,-28,230.9,1.2,47,-42
2023/05/10 22:15:01,1683767701,229.9,1.0,30,5,232.8,1.3,88,-21,231.2,1.2,29,-56
2023/05/10 22:20:00,1683768000,228.6,1.1,44,8,231.6,1.4,91,-24,230.2,1.2,49,-23
2023/05/10 22:25:01,1683768301,228.8,1.2,49,14,231.6,1.2,79,-9,230.7,1.2,36,-30
2023/05/10 22:30:00,1683768600,229.3,1.2,35,4,232.4,1.3,81,-23,231.0,1.2,39,-20
2023/05/10 22:35:01,1683768901,229.7,1.0,33,2,232.5,1.3,80,-29,231.2,1.2,22,-53
2023/05/10 22:40:00,1683769200,229.1,1.1,22,-5,232.0,1.3,93,-24,230.5,1.3,40,-25
2023/05/10 22:45:01,1683769501,228.8,1.2,36,5,231.7,1.3,81,-17,230.6,1.1,45,-41
2023/05/10 22:50:00,1683769800,229.5,1.1,41,6,232.6,1.3,82,-32,231.3,1.2,47,-28
2023/05/10 22:55:01,1683770101,229.9,1.2,41,-4,232.8,1.2,83,-27,231.5,1.2,34,-30
2023/05/10 23:00:00,1683770400,227.6,1.2,52,13,230.5,1.2,88,-25,229.3,1.2,51,-20
2023/05/10 23:05:01,1683770701,226.7,1.1,39,14,229.5,1.2,82,-22,228.4,1.1,43,-19
2023/05/10 23:10:00,1683771000,227.7,1.2,44,-12,230.6,1.4,96,-31,229.5,1.4,46,-23
2023/05/10 23:15:01,1683771301,228.2,1.1,40,11,231.0,1.3,88,-28,229.7,1.1,35,-26
2023/05/10 23:20:00,1683771600,228.4,1.2,42,1,231.2,1.3,78,-30,230.0,1.1,46,-32
2023/05/10 23:25:00,1683771900,228.3,1.0,41,13,230.9,1.4,85,-15,229.7,1.2,39,-16
